round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
41,7,0.59714,0.69116,0.59864,0.54246,0.59714,0.59714,0.59714,0.31624,0.1269,0.11553,0.04866,0.62864,0.94487,0.84969,0.97659,0.77305,0.88858,0.91511,0.96378
41,8,0.67893,0.68346,0.67909,0.67706,0.67893,0.67893,0.67893,0.40837,0.24811,0.15704,0.16198,0.29245,0.70082,0.5625,0.81061,0.47586,0.63289,0.65354,0.81552
41,9,0.58214,0.68437,0.58555,0.51936,0.58214,0.58214,0.58214,0.09602,0.09254,0.05044,0.09154,0.06846,0.16448,0.149,0.24154,0.10112,0.15157,0.15927,0.25082
42,0,0.62286,0.69868,0.63129,0.59148,0.62286,0.62286,0.62286,0.13505,0.10299,0.14381,0.21462,0.11534,0.25039,0.2568,0.35978,0.1173,0.26111,0.19765,0.41227
42,1,0.535,0.67392,0.54186,0.4308,0.535,0.535,0.535,0.02701,0.00602,0.01237,0.02078,0.04571,0.07273,0.10089,0.10691,0.05624,0.06861,0.09216,0.11294
42,2,0.5825,0.70386,0.57688,0.50213,0.5825,0.5825,0.5825,0.08028,0.07481,0.04475,0.06788,0.04904,0.12933,0.125,0.19981,0.07579,0.12054,0.13823,0.20611
42,3,0.565,0.69077,0.56759,0.48285,0.565,0.565,0.565,0.25801,0.09823,0.03865,0.01937,0.72062,0.97864,0.89262,0.99085,0.87643,0.91508,0.9569,0.97627
42,4,0.64786,0.69304,0.64521,0.62351,0.64786,0.64786,0.64786,0.1835,0.16577,0.11174,0.1867,0.12151,0.30501,0.26821,0.43398,0.17828,0.29002,0.27921,0.46591
42,5,0.62393,0.67262,0.62953,0.60116,0.62393,0.62393,0.62393,0.41738,0.20628,0.08623,0.06505,0.45769,0.87506,0.72222,0.9285,0.69497,0.7812,0.842,0.90706
42,6,0.62107,0.67484,0.62264,0.59119,0.62107,0.62107,0.62107,0.37882,0.21515,0.13264,0.08814,0.50831,0.88713,0.73148,0.94663,0.68634,0.81897,0.83766,0.92581
42,7,0.67714,0.69895,0.67784,0.66858,0.67714,0.67714,0.67714,0.41042,0.22548,0.18971,0.14392,0.37835,0.78877,0.66871,0.89419,0.54002,0.72973,0.74741,0.89133
